,support,itemsets
0,0.6633333333333333,"frozenset({'children_(-0.003, 1.0]'})"
1,0.6516666666666666,frozenset({'mortgage_NO'})
2,0.5066666666666667,frozenset({'car_NO'})
3,0.5,frozenset({'sex_FEMALE'})
4,0.475,"frozenset({'income_(4956.094, 24386.173]'})"
5,0.45666666666666667,frozenset({'pep_YES'})
6,0.4483333333333333,frozenset({'region_INNER_CITY'})
7,0.3566666666666667,"frozenset({'age_(34.333, 50.667]'})"
8,0.34,frozenset({'married_NO'})
9,0.31,frozenset({'save_act_NO'})
10,0.24166666666666667,frozenset({'current_act_NO'})
11,0.7583333333333333,frozenset({'current_act_YES'})
12,0.66,frozenset({'married_YES'})
13,0.5433333333333333,frozenset({'pep_NO'})
14,0.5,frozenset({'sex_MALE'})
15,0.49333333333333335,frozenset({'car_YES'})
16,0.39166666666666666,"frozenset({'income_(24386.173, 43758.137]'})"
17,0.34833333333333333,frozenset({'mortgage_YES'})
18,0.28833333333333333,frozenset({'region_TOWN'})
19,0.69,frozenset({'save_act_YES'})
20,0.31833333333333336,"frozenset({'age_(50.667, 67.0]'})"
21,0.325,"frozenset({'age_(17.951, 34.333]'})"
22,0.22333333333333333,"frozenset({'children_(1.0, 2.0]'})"
23,0.5,"frozenset({'children_(-0.003, 1.0]', 'current_act_YES'})"
24,0.4483333333333333,"frozenset({'children_(-0.003, 1.0]', 'save_act_YES'})"
25,0.3433333333333333,"frozenset({'children_(-0.003, 1.0]', 'save_act_YES', 'current_act_YES'})"
26,0.41333333333333333,"frozenset({'children_(-0.003, 1.0]', 'mortgage_NO'})"
27,0.5016666666666667,"frozenset({'mortgage_NO', 'current_act_YES'})"
28,0.45,"frozenset({'save_act_YES', 'mortgage_NO'})"
29,0.435,"frozenset({'mortgage_NO', 'married_YES'})"
30,0.32166666666666666,"frozenset({'children_(-0.003, 1.0]', 'mortgage_NO', 'current_act_YES'})"
31,0.2866666666666667,"frozenset({'children_(-0.003, 1.0]', 'mortgage_NO', 'married_YES'})"
32,0.2783333333333333,"frozenset({'children_(-0.003, 1.0]', 'save_act_YES', 'mortgage_NO'})"
33,0.22166666666666668,"frozenset({'married_YES', 'children_(-0.003, 1.0]', 'mortgage_NO', 'current_act_YES'})"
34,0.22333333333333333,"frozenset({'children_(-0.003, 1.0]', 'save_act_YES', 'mortgage_NO', 'current_act_YES'})"
35,0.35333333333333333,"frozenset({'save_act_YES', 'mortgage_NO', 'current_act_YES'})"
36,0.33166666666666667,"frozenset({'mortgage_NO', 'current_act_YES', 'married_YES'})"
37,0.30666666666666664,"frozenset({'save_act_YES', 'mortgage_NO', 'married_YES'})"
38,0.23666666666666666,"frozenset({'save_act_YES', 'mortgage_NO', 'current_act_YES', 'married_YES'})"
39,0.345,"frozenset({'children_(-0.003, 1.0]', 'car_NO'})"
40,0.3283333333333333,"frozenset({'car_NO', 'mortgage_NO'})"
41,0.39166666666666666,"frozenset({'car_NO', 'current_act_YES'})"
42,0.33666666666666667,"frozenset({'car_NO', 'married_YES'})"
43,0.28,"frozenset({'car_NO', 'pep_NO'})"
44,0.3416666666666667,"frozenset({'car_NO', 'save_act_YES'})"
45,0.265,"frozenset({'children_(-0.003, 1.0]', 'car_NO', 'current_act_YES'})"
46,0.21833333333333332,"frozenset({'children_(-0.003, 1.0]', 'car_NO', 'mortgage_NO'})"
47,0.2633333333333333,"frozenset({'car_NO', 'mortgage_NO', 'current_act_YES'})"
48,0.22166666666666668,"frozenset({'car_NO', 'mortgage_NO', 'married_YES'})"
49,0.215,"frozenset({'car_NO', 'mortgage_NO', 'save_act_YES'})"
50,0.25166666666666665,"frozenset({'car_NO', 'current_act_YES', 'married_YES'})"
51,0.23333333333333334,"frozenset({'children_(-0.003, 1.0]', 'car_NO', 'married_YES'})"
52,0.22166666666666668,"frozenset({'married_YES', 'car_NO', 'save_act_YES'})"
53,0.21,"frozenset({'car_NO', 'pep_NO', 'married_YES'})"
54,0.20833333333333334,"frozenset({'car_NO', 'current_act_YES', 'pep_NO'})"
55,0.225,"frozenset({'children_(-0.003, 1.0]', 'car_NO', 'save_act_YES'})"
56,0.265,"frozenset({'car_NO', 'current_act_YES', 'save_act_YES'})"
57,0.3416666666666667,"frozenset({'mortgage_NO', 'sex_FEMALE'})"
58,0.33,"frozenset({'children_(-0.003, 1.0]', 'sex_FEMALE'})"
59,0.255,"frozenset({'car_NO', 'sex_FEMALE'})"
60,0.38333333333333336,"frozenset({'sex_FEMALE', 'current_act_YES'})"
61,0.3433333333333333,"frozenset({'save_act_YES', 'sex_FEMALE'})"
62,0.325,"frozenset({'sex_FEMALE', 'married_YES'})"
63,0.2833333333333333,"frozenset({'sex_FEMALE', 'pep_NO'})"
64,0.265,"frozenset({'mortgage_NO', 'sex_FEMALE', 'current_act_YES'})"
